DATE,IPN32731S
2013-05-01,99.5607
2013-06-01,101.1157
2013-07-01,101.9294
2013-08-01,103.1430
2013-09-01,105.1505
2013-10-01,103.4174
2013-11-01,100.2048
2013-12-01,99.2019
2014-01-01,96.8279
2014-02-01,96.6639
2014-03-01,98.2095
2014-04-01,99.8622
2014-05-01,103.2470
2014-06-01,102.0049
2014-07-01,104.7980
2014-08-01,103.4822
2014-09-01,106.4102
2014-10-01,107.4771
2014-11-01,99.9940
2014-12-01,107.8144
2015-01-01,108.0196
2015-02-01,98.3234
2015-03-01,98.0626
2015-04-01,102.8839
2015-05-01,104.7122
2015-06-01,107.4307
2015-07-01,112.8845
2015-08-01,114.3793
2015-09-01,114.5231
2015-10-01,113.2410
2015-11-01,112.7522
2015-12-01,119.8456
2016-01-01,116.7888
2016-02-01,119.0626
2016-03-01,118.9009
2016-04-01,109.6192
2016-05-01,107.7492
2016-06-01,110.7745
2016-07-01,105.8163
2016-08-01,105.2523
2016-09-01,105.2719
2016-10-01,106.2018
2016-11-01,107.0915
2016-12-01,103.4522
2017-01-01,103.6667
2017-02-01,109.3678
2017-03-01,104.1273
2017-04-01,99.4783
2017-05-01,98.5261
2017-06-01,98.5578
2017-07-01,96.7684
2017-08-01,96.8806
2017-09-01,96.8790
2017-10-01,98.9506
2017-11-01,101.8784
2017-12-01,102.0626
2018-01-01,100.0281
2018-02-01,101.3911
2018-03-01,100.3022
2018-04-01,102.4601
2018-05-01,105.2745
2018-06-01,103.0784
2018-07-01,103.6884
2018-08-01,103.0046
2018-09-01,100.7646
2018-10-01,100.0901
2018-11-01,95.3075
2018-12-01,96.3338
2019-01-01,102.6488
2019-02-01,98.9187
2019-03-01,97.4072
2019-04-01,98.5315
2019-05-01,98.1995
2019-06-01,98.0420
2019-07-01,102.4513
2019-08-01,103.3392
2019-09-01,106.1046
2019-10-01,102.4713
2019-11-01,97.2591
2019-12-01,100.0059
2020-01-01,107.9930
2020-02-01,105.8406
2020-03-01,100.6725
2020-04-01,95.8725
2020-05-01,99.8972
2020-06-01,104.5993
2020-07-01,105.4513
2020-08-01,103.4103
2020-09-01,101.6846
2020-10-01,102.8240
2020-11-01,104.7750
2020-12-01,105.7940
2021-01-01,107.7894
2021-02-01,94.1235
2021-03-01,99.3792
2021-04-01,102.5381
2021-05-01,99.2814
2021-06-01,96.7030
2021-07-01,95.8351
2021-08-01,95.9847
2021-09-01,96.9222
2021-10-01,97.2735
2021-11-01,101.2447
2021-12-01,105.8700
2022-01-01,102.9497
2022-02-01,101.8750
2022-03-01,101.5162
2022-04-01,97.8230
2022-05-01,98.8438
2022-06-01,100.5367
2022-07-01,99.3388
2022-08-01,97.9552
2022-09-01,98.9721
2022-10-01,99.6175
2022-11-01,92.0686
2022-12-01,92.3086
2023-01-01,95.9918
2023-02-01,98.5209
2023-03-01,93.3392
2023-04-01,92.2793
2023-05-01,97.6259
2023-06-01,97.0337
2023-07-01,94.5459
2023-08-01,93.2846
